Country Code,2000,2005,2010
SEN,9884052,11251266,12916229
SGP,4027887,4265762,5076732
SLB,412609,469885,527790
SLE,4564297,5658379,6458720
SLV,5867626,6028961,6164626
SMR,27418,29240,31110
SOM,9011479,10409925,12053223
SRB,7516346,7440769,7291436
SSA,669737048,764783733.2,876933366.4
SSD,6700656,8108877,10067192
SSF,669818179,764866591.2,877023136.4
SST,29439900,31949551,35467734
STP,138606,155630,174776
SUR,472390,498946,526103
SVK,5388720,5372807,5391428
SVN,1988925,2000474,2048583
SWE,8872109,9029572,9378126
SWZ,1061468,1105873,1202843
SXM,30519,36934,35474
SYC,81131,82858,89770
SYR,16410848,18294611,21018834
TCA,18873,26448,30994
TCD,8342559,10067009,11887202
TEA,1790334133,1869631076,1940064830
TEC,435342598,435634937,441513488
TGO,4970367,5683268,6502952
THA,62958021,65425470,67208808
TJK,6216205,6854176,7641630
TKM,4516131,4754641,5087210
TLA,508826710,544459791,580246796
TLS,871607,1026484,1109591
TMN,278033137,303274818,331770455
TON,98082,101041,104137
TSA,1386504523,1512521166,1630729920
TSS,669818179,764866591.2,877023136.4
TTO,1267984,1296934,1328100
TUN,9699197,10102482,10639931
TUR,63240121,67903406,72326914
TUV,9420,10027,10531
TZA,34178042,39410545,46098591
UGA,24039274,28543940,33915133
UKR,49175848,47105150,45870700
UMC,2284670482,2376019944,2464534816
URY,3321245,3325612,3374415
USA,282162411,295516599,309348193
UZB,24650400,26167000,28562400
VCT,107898,108744,109315
VEN,24488340,26784161,29028033
VGB,20645,23168,27224
VIR,108639,107863,106267
VNM,77630900,82392100,86932500
VUT,185063,209370,236295
WSM,174610,179929,186205
XKX,1700000,1705780,1775680
YEM,17874725,20582927,23606779
ZAF,44896856,47606670.24,50979432.36
ZMB,10531221,12052156,13850033
ZWE,12222251,12940032,14086317
