Country Name,Country Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Switzerland,CHE,7845.634548,7992.277576,8031.432226,8195.120835,8205.829119,8305.371102,8360.576135,8163.295576,8305.923042,8021.223604,8174.408162,7928.19067,7886.094306,7807.058815,7520.166025
Chile,CHL,2512.325102,2640.7952,2738.479234,2906.983,3072.347694,3102.483523,3229.269099,3347.262169,3347.568969,3307.655714,3320.415734,3600.344819,3827.439178,3903.972414,3911.649265
China,CHN,992.9433847,1076.549121,1194.856295,1379.484632,1585.838782,1782.312153,2039.01466,2325.926769,2446.369055,2612.45662,2943.589954,3298.003913,3474.988062,3773.405384,3927.0445
Cote d'Ivoire,CIV,171.5751975,180.2213971,175.2798215,173.5923058,173.1328681,171.8448915,182.2514958,187.9393843,196.7382682,201.7418821,216.4074491,198.1784334,236.1965437,234.4499159,276.1485663
Cameroon,CMR,178.0122002,167.8798019,157.6635358,170.0393767,195.7653248,189.7731992,250.117852,258.3799668,272.0155405,269.8051686,266.3429224,261.1541552,252.1536583,257.1145769,280.6666791
"Congo, Dem. Rep.",COD,96.63018532,95.61035839,89.79496569,90.27042267,88.24491554,89.51356855,101.8339826,105.3107968,101.2694156,106.8588427,104.7219202,108.0889103,112.2520723,117.0984931,108.5823312
"Congo, Rep.",COG,92.69228301,101.6344141,112.1161782,111.6339412,102.6227319,114.3012977,122.5807543,122.2258381,131.9423099,141.053273,136.5493323,143.8153845,208.9195256,207.3076254,197.2859935
Colombia,COL,829.3989416,850.4251723,858.6206682,862.5182615,898.3441057,895.8168431,947.1270942,974.3868628,974.2203965,1049.978201,1077.984569,1121.391104,1149.963818,1287.202426,1289.569693
Costa Rica,CRI,1521.102204,1499.70051,1572.89666,1658.761053,1694.754144,1736.411509,1838.333418,1900.688619,1903.371661,1858.402683,1901.31301,1898.717393,1956.974914,1954.572082,1957.930248
Cuba,CUB,1135.440746,1155.584988,1183.187945,1191.741845,1173.610477,1152.756855,1223.416691,1296.391169,1314.882711,1323.926753,1290.826274,1318.666686,1364.066144,1419.274709,1434.032704
Curacao,CUW,7291.199761,7222.174867,7282.999884,7521.02019,7571.241207,7613.070072,7243.041936,7323.540845,7149.712092,7423.399372,7471.268233,7379.119677,5062.858345,4934.274681,4797.670436
Cyprus,CYP,3373.314138,3455.235025,3703.301855,3918.221592,3946.912639,4099.612906,4238.127075,4377.124635,4554.519709,4577.096667,4585.626371,4239.732939,4035.021875,3587.738745,3624.895753
Czech Republic,CZE,5703.816739,5892.172595,5894.233119,6074.849142,6230.398228,6357.421095,6528.53015,6518.217413,6489.126257,6139.35206,6348.424398,6298.727678,6304.571923,6284.790806,6258.891037
Germany,DEU,6635.421406,6762.653396,6900.780527,7009.726492,7108.962524,7138.221485,7212.437448,7229.089913,7187.764009,6817.158398,7264.322591,7281.272174,7270.152523,7217.529089,7035.482975
Denmark,DNK,6482.488628,6490.092993,6533.752014,6602.63638,6615.569959,6659.000427,6824.745939,6668.390266,6534.12385,6219.701092,6327.506456,6165.97362,6038.552307,6039.432,5858.801536
Dominican Republic,DOM,1313.61632,1273.639131,1373.483759,1347.382178,1112.600486,1215.904709,1308.564476,1335.388111,1352.355415,1299.786502,1366.237674,1397.613167,1466.279992,1516.540327,1578.151662
Algeria,DZA,680.1959744,705.9347934,727.6126435,783.0323588,800.7043079,886.9145764,858.9340106,890.8143527,943.7557434,863.0859736,1012.690836,1118.50881,1231.970092,1272.296024,1356.264554
East Asia & Pacific (excluding high income),EAP,874.3929845,939.7713798,1029.560122,1167.928312,1324.237639,1468.155795,1655.153105,1864.758777,1954.130619,2082.25263,2330.829178,2578.088121,2716.974476,2931.687784,3048.125898
Early-demographic dividend,EAR,730.6256074,738.0316149,759.7735211,794.7444291,820.3132453,852.681732,894.1781561,928.5508564,948.6913442,963.2129625,1017.508569,1067.877072,1094.55602,1119.09046,1149.97034
East Asia & Pacific,EAS,1664.722367,1726.726014,1825.384975,1947.855583,2113.100531,2259.653432,2433.032105,2644.511943,2698.743582,2793.952913,3074.754873,3273.707452,3390.78353,3580.181297,3676.737232
Europe & Central Asia (excluding high income),ECA,3343.975183,3386.570468,3410.480161,3533.81038,3635.303358,3727.010575,3912.722747,4026.058049,4099.641553,3881.726039,4091.895705,4191.151644,4256.514523,4219.516155,4247.496935
Europe & Central Asia,ECS,4940.309862,5030.247128,5076.237834,5190.13957,5296.822073,5376.09027,5491.791453,5550.249128,5582.119048,5293.655094,5527.052323,5488.531294,5520.532084,5458.827618,5372.437297
Ecuador,ECU,637.521384,649.9773784,692.2397847,720.1119131,829.111227,799.7680127,868.1594676,958.927533,1083.989119,1111.203759,1143.780018,1217.339912,1281.545268,1333.265481,1380.610286
"Egypt, Arab Rep.",EGY,961.9490679,1013.254255,1062.527547,1128.721384,1171.169753,1241.342768,1311.364488,1401.19247,1446.626135,1512.459428,1550.810993,1658.96445,1658.770042,1658.593226,1657.76872
Euro area,EMU,6236.133616,6377.487274,6480.539328,6619.364558,6741.623226,6784.978438,6856.028239,6861.332234,6853.877348,6496.234607,6773.187614,6643.799614,6637.03172,6537.066178,6353.441597
Spain,ESP,5167.809673,5422.51569,5576.546265,5676.140491,5892.307411,6111.219223,6105.075849,6054.374438,6025.772757,5652.595933,5706.563063,5599.377374,5573.401182,5409.411338,5355.987006
Estonia,EST,4540.492561,4680.447946,4767.462935,5158.602778,5429.525522,5531.545829,5869.424789,6277.411463,6364.56783,5975.953811,6506.318181,6314.414448,6689.367776,6664.658569,6732.367473
Ethiopia,ETH,22.64893974,26.440945,26.10033035,28.47881865,30.62000963,33.36501141,37.31102464,39.40720843,40.86078515,42.06459396,48.26534928,52.60600393,57.3859796,64.3918912,69.71577388
European Union,EUU,5821.030765,5942.435523,6012.433963,6131.276478,6227.960908,6290.787342,6357.090593,6366.753376,6359.181134,6026.64164,6268.04239,6150.322813,6147.223053,6065.71602,5908.785143
Fragile and conflict affected situations,FCS,391.4891223,407.5079822,427.5028775,423.227778,452.2934336,433.732537,462.5105716,444.2243133,431.2325643,440.415182,512.989918,500.6401504,436.6973991,460.8305237,440.4113672
Finland,FIN,15305.40981,15709.88325,16140.06697,16445.57256,16777.56585,16117.89033,17215.03729,17160.86312,16349.23333,15243.11039,16484.09428,15710.97376,15689.22331,15510.8355,15249.98938
France,FRA,7224.526985,7342.256675,7299.24846,7529.550299,7661.49118,7652.864304,7540.295298,7513.57933,7643.44985,7338.041898,7734.726783,7232.980234,7363.426038,7367.856272,6937.862388
Gabon,GAB,878.0608258,896.8048554,921.6561381,930.6205794,908.9542994,907.9726268,935.7411596,958.9086169,970.4434556,932.0915529,948.0493351,959.8721585,984.7354619,1079.640846,1172.887323
United Kingdom,GBR,6114.529259,6141.982551,6142.749834,6174.550896,6138.754137,6270.984059,6200.554113,6102.396768,6015.726861,5643.128595,5700.855864,5471.924132,5449.252201,5409.630386,5129.527793
Georgia,GEO,1452.821221,1449.252234,1509.754418,1607.765636,1678.680801,1784.9642,1659.816248,1730.524253,1796.774194,1757.667169,1976.821192,2219.096774,2271.372549,2459.745763,2688.489402
Ghana,GHA,332.0174782,337.7681711,310.9233938,221.1594959,219.8552443,245.8452227,296.7428157,244.0946366,264.2643519,263.0122343,280.5144756,318.4883756,345.7033016,379.6745123,354.714053
Gibraltar,GIB,3880.692752,3888.570154,3962.718742,4098.360656,4138.449962,4394.576905,4520.683676,4613.964934,4918.733961,5128.049521,5182.439965,4969.315971,5085.80436,5409.240046,5640.754451
Greece,GRC,4586.32987,4719.147217,4909.639698,5091.292424,5200.024354,5297.200025,5434.576469,5701.330854,5805.192546,5627.883706,5333.439556,5389.333122,5534.897159,5028.995794,5062.606422
Guatemala,GTM,330.4510279,357.9890425,363.0154131,450.7827621,482.5377972,480.6800963,533.0294645,543.4923037,530.5444681,537.7820719,541.9531104,534.5537025,532.6416195,558.4047513,577.8858859
High income,HIC,8856.543988,8769.664619,8920.721561,8999.864906,9130.6827,9295.506902,9309.438811,9402.946003,9360.152849,8955.510579,9333.465467,9216.283051,9152.081084,9151.53372,9086.81068
"Hong Kong SAR, China",HKG,5446.661665,5549.945638,5647.899646,5713.882451,5782.560625,5878.441848,5882.807601,5907.349305,5883.037742,5950.83754,5973.349278,5959.895922,6031.244318,5941.160902,6083.269936
Honduras,HND,492.1613609,499.7713303,521.6258349,545.7915406,544.824631,580.0556864,591.1364539,643.2301518,665.0866836,633.3524206,627.106677,674.2420614,646.7468785,653.6313849,630.1355308
Heavily indebted poor countries (HIPC),HPC,128.7174738,138.9957927,138.7371428,141.4659866,149.7400631,155.6049026,165.4754304,167.6434901,166.988145,168.6274749,177.7929296,183.666728,196.101025,201.6770911,207.1730082
Croatia,HRV,2855.851785,2898.648649,3092.342342,3157.657658,3325.523767,3475.911751,3635.810811,3737.601443,3877.995033,3711.607698,3813.679311,3900.601361,3819.280253,3754.268698,3714.382988
Haiti,HTI,35.44191269,34.85736722,30.334816,28.51874528,28.07270568,37.02742534,37.4091725,25.32204779,23.59601398,35.72563121,24.40093456,31.14818314,45.97048753,43.71259506,38.96914873
Hungary,HUN,3309.283711,3426.722902,3545.170756,3637.278332,3680.168467,3771.364614,3882.490664,3976.518977,3988.767694,3773.153807,3876.491084,3898.823143,3923.042324,3892.113701,3965.958233
IBRD only,IBD,1165.007176,1191.181575,1244.252078,1333.808042,1426.424935,1510.274636,1632.033871,1754.170462,1810.176987,1851.109112,2011.05554,2157.480637,2233.971921,2338.654878,2402.428501
IDA & IBRD total,IBT,994.8980177,1015.756477,1058.470226,1130.709321,1206.222561,1273.644066,1371.275116,1466.968917,1507.264125,1537.353435,1665.158524,1778.414298,1832.121078,1911.897331,1958.140094
IDA total,IDA,250.6360426,256.7602293,263.7684188,271.817452,285.6496008,295.5586115,305.8947923,307.2875487,298.4833283,299.8950085,317.3234148,318.9614276,316.6208912,321.2655879,321.6492434
IDA blend,IDB,367.7748785,368.9006471,380.4026076,389.7073175,402.5496901,414.6153685,422.1538809,417.596336,393.7953562,391.6967889,401.582629,399.5390456,397.7523911,407.4281159,404.8593022
Indonesia,IDN,390.3745511,411.3162034,417.2075298,428.397417,473.6764808,499.7160945,514.8665408,544.7120817,568.3960515,592.1564174,634.1760898,678.6442926,732.1023539,773.293854,811.9001839
IDA only,IDX,176.1779576,185.505682,189.6964224,196.9849165,211.4586483,219.9738967,232.0247681,237.1016273,237.7244211,241.2385208,263.3040822,267.1154493,265.0331803,266.3171162,268.4290759
India,IND,394.9638097,395.1047593,411.9673978,431.8411318,453.0102057,469.4539231,510.7516179,543.3586454,562.8991702,600.2017021,642.1116154,698.5478127,724.7911885,765.5638456,805.5991906
Ireland,IRL,5796.055581,5896.939225,6035.686646,6092.548994,6168.398988,6241.715574,6351.099111,6218.313404,6340.733045,5947.909489,5927.86868,5661.605045,5666.575901,5730.386095,5721.835085
"Iran, Islamic Rep.",IRN,1534.615981,1628.119798,1727.335216,1869.756247,1990.301233,2060.086186,2200.205874,2285.040672,2398.472099,2479.916388,2631.239763,2651.077043,2751.342926,2795.956949,2985.68728
Iraq,IRQ,1237.406703,1238.472485,1264.550379,1040.790903,1202.130563,833.8508879,972.9975314,768.8505491,750.1867738,836.5041346,1195.993811,1272.730877,1110.274775,1397.125326,1305.687469
Iceland,ISL,26201.52558,26950.39443,27896.89868,27666.38689,28215.45225,27988.02968,31328.3868,36852.54489,50063.95433,51259.18763,51439.90869,52373.87701,53202.83366,54799.17471,53832.47909
Israel,ISR,6323.103832,6400.217425,6502.739726,6597.306307,6525.921574,6572.199535,6711.229567,7003.24508,7134.002846,6607.887143,6953.276667,6930.000773,7184.501612,6710.093678,6600.89828
Italy,ITA,5299.856479,5406.491722,5539.703837,5652.519542,5687.997573,5731.101557,5833.467297,5804.325964,5757.960611,5368.390567,5493.711037,5514.803615,5397.741477,5159.183655,5002.40668
