Country,Country Code,Continent,forest_2010,power_2010,pop_2010,GreenCoef
Paraguay,PRY,South America,175820.0,1178.606275,6209877.0,28312.96014397709
Peru,PER,South America,679920.0,1094.3142710000004,29373646.0,23147.279707803384
Philippines,PHL,Asia,76650.0,639.540799,93726624.0,817.8039144992568
Poland,POL,Europe,93370.0,3797.092296,38042794.0,2454.3412873407774
Portugal,PRT,Europe,34560.0,4959.094305,10573100.0,3268.6723855822797
Qatar,QAT,Asia,0.0,14821.237119999998,1779676.0,0.0
Romania,ROU,Europe,65730.0,2550.863291,20246871.0,3246.4275591028363
Saudi Arabia,SAU,Asia,9770.0,7973.513579,27425676.0,356.23552177893447
Senegal,SEN,Africa,84730.0,199.1293279,12916229.0,6559.964212464799
Serbia,SRB,Europe,27130.0,4358.8121740000015,7291436.0,3720.8034192441655
Singapore,SGP,Asia,20.0,8679.99335,5076732.0,3.9395422094370947
Slovenia,SVN,Europe,12530.0,6510.841884,2048583.0,6116.422912813394
South Africa,ZAF,Africa,56660.0,4510.216535000001,50979432.3622277,1111.4286168863116
Spain,ESP,Europe,181730.0,5706.563063000001,46576897.0,3901.719773217181
Sri Lanka,LKA,Asia,18600.0,461.1267067,20119000.0,924.4992295839753
Sudan,SDN,Africa,699490.0,131.0552689,34385963.0,20342.312355771453
Suriname,SUR,South America,147580.0,2997.511894,526103.0,280515.41238122573
Sweden,SWE,Europe,282030.0,14934.32696,9378126.0,30073.17240139448
Switzerland,CHE,Europe,12400.0,8174.4081620000015,7824909.0,1584.6829656421564
Tajikistan,TJK,Asia,4100.0,1864.916255,7641630.0,536.5347445505736
Tanzania,TZA,Africa,334280.0,92.95294947,46098591.0,7251.414690744019
Thailand,THA,Asia,189720.0,2307.331503000001,67208808.0,2822.8442914803663
Togo,TGO,Africa,2870.0,122.5597236,6502952.0,441.3380261764196
Trinidad and Tobago,TTO,North America,2260.0,6189.292975,1328100.0,1701.6790904299373
Tunisia,TUN,Africa,10060.0,1364.388547,10639931.0,945.4948533030899
Turkey,TUR,Asia,113340.0,2491.631262,72326914.0,1567.051512801998
Turkmenistan,TKM,Asia,41270.0,2382.052245,5087210.0,8112.50174457119
Ukraine,UKR,Europe,97050.0,3549.847724,45870700.0,2115.729648773618
United Arab Emirates,ARE,Asia,3170.0,10968.25849,8270684.0,383.28147950036544
United Kingdom,GBR,Europe,28810.0,5700.855864,62766365.0,459.003799248212
United States,USA,North America,3040220.0,13393.99128,309348193.0,9827.825307516829
Uruguay,URY,South America,17440.0,2803.1525460000007,3374415.0,5168.303246636825
Uzbekistan,UZB,Asia,32760.0,1653.467496,28562400.0,1146.9624401310814
Vietnam,VNM,Asia,137970.0,1016.59824,86932500.0,1587.0934345612975
Zambia,ZMB,Africa,494680.0,580.143022,13850033.0,35716.8824074282
Zimbabwe,ZWE,Africa,156240.0,546.8427268999999,14086317.0,11091.614649876188
