Country Code,pop_2000,pop_2005,pop_2010
MDA,3639592.0,3595187.0,3562045.0
MDG,15766806.0,18336724.0,21151640.0
MDV,286000.0,321000.0,367000.0
MEA,317129227.0,348956287.0,388376106.0
MEX,101719673.0,108472228.0,117318941.0
MHL,52159.0,52055.0,52425.0
MIC,4622449337.0,4921339717.24397,5221137561.362229
MKD,2034819.0,2060272.0,2070739.0
MLI,10967690.0,12798763.0,15075085.0
MLT,390087.0,403834.0,414508.0
MMR,46095462.0,48482614.0,50155896.0
MNA,280955290.0,306595214.0,335581557.0
MNE,604950.0,614261.0,619428.0
MNG,2397436.0,2526446.0,2712650.0
MNP,69094.0,63744.0,54424.0
MOZ,18067687.0,20923070.0,24221405.0
MRT,2709359.0,3130720.0,3609543.0
MUS,1186873.0,1228254.0,1250400.0
MWI,11376172.0,13039711.0,15167095.0
MYS,23185608.0,25659393.0,28112289.0
NAC,312993944.0,327892753.0,343418591.0
NAM,1899257.0,2032196.0,2173170.0
NCL,213230.0,231000.0,250000.0
NER,11352973.0,13618449.0,16425578.0
NGA,122352009.0,138939478.0,158578261.0
NIC,5026796.0,5379328.0,5737723.0
NLD,15925513.0,16319868.0,16615394.0
NOR,4490967.0,4623291.0,4889252.0
NPL,23740911.0,25640287.0,27023137.0
NRU,10042.0,10115.0,10025.0
NZL,3857700.0,4133900.0,4350700.0
OED,1156568670.0,1198065132.0,1242391523.0
OMN,2267991.0,2511269.0,3041460.0
OSS,20944988.0,23114953.0,26269542.0
PAK,138523285.0,153909667.0,170560182.0
PAN,3030347.0,3330465.0,3643222.0
PER,25914879.0,27610410.0,29373646.0
PHL,77991569.0,86274237.0,93726624.0
PLW,19175.0,19906.0,20470.0
PNG,5572222.0,6314709.0,7108239.0
POL,38258629.0,38165445.0,38042794.0
PRE,554097477.0,639876871.0,739082260.0
PRI,3810605.0,3821362.0,3721525.0
PRK,22929075.0,23904167.0,24591599.0
PRT,10289898.0,10503330.0,10573100.0
PRY,5302700.0,5795494.0,6209877.0
PSE,2922153.0,3320396.0,3811102.0
PSS,1964221.0,2072666.0,2214096.0
PST,1020591851.0,1046610825.0,1075140985.0
PYF,237258.0,254886.0,267820.0
QAT,592267.0,864863.0,1779676.0
ROU,22442971.0,21319685.0,20246871.0
RUS,146596557.0,143518523.0,142849449.0
RWA,8025703.0,8991735.0,10246842.0
SAS,1386504523.0,1512521166.0,1630729920.0
SAU,20764312.0,23905654.0,27425676.0
SDN,27250535.0,30911914.0,34385963.0
SEN,9884052.0,11251266.0,12916229.0
SGP,4027887.0,4265762.0,5076732.0
SLB,412609.0,469885.0,527790.0
SLE,4564297.0,5658379.0,6458720.0
SLV,5867626.0,6028961.0,6164626.0
SMR,27418.0,29240.0,31110.0
SOM,9011479.0,10409925.0,12053223.0
SRB,7516346.0,7440769.0,7291436.0
SSA,669737048.0,764783733.243966,876933366.362228
SSD,6700656.0,8108877.0,10067192.0
SSF,669818179.0,764866591.243966,877023136.362228
SST,29439900.0,31949551.0,35467734.0
STP,138606.0,155630.0,174776.0
SUR,472390.0,498946.0,526103.0
SVK,5388720.0,5372807.0,5391428.0
SVN,1988925.0,2000474.0,2048583.0
SWE,8872109.0,9029572.0,9378126.0
SWZ,1061468.0,1105873.0,1202843.0
SXM,30519.0,36934.0,35474.0
SYC,81131.0,82858.0,89770.0
SYR,16410848.0,18294611.0,21018834.0
TCA,18873.0,26448.0,30994.0
TCD,8342559.0,10067009.0,11887202.0
TEA,1790334133.0,1869631076.0,1940064830.0
TEC,435342598.0,435634937.0,441513488.0
TGO,4970367.0,5683268.0,6502952.0
THA,62958021.0,65425470.0,67208808.0
TJK,6216205.0,6854176.0,7641630.0
TKM,4516131.0,4754641.0,5087210.0
TLA,508826710.0,544459791.0,580246796.0
TLS,871607.0,1026484.0,1109591.0
TMN,278033137.0,303274818.0,331770455.0
TON,98082.0,101041.0,104137.0
TSA,1386504523.0,1512521166.0,1630729920.0
TSS,669818179.0,764866591.243966,877023136.362228
TTO,1267984.0,1296934.0,1328100.0
TUN,9699197.0,10102482.0,10639931.0
TUR,63240121.0,67903406.0,72326914.0
TUV,9420.0,10027.0,10531.0
TZA,34178042.0,39410545.0,46098591.0
UGA,24039274.0,28543940.0,33915133.0
UKR,49175848.0,47105150.0,45870700.0
UMC,2284670482.0,2376019944.24397,2464534816.3622303
URY,3321245.0,3325612.0,3374415.0
USA,282162411.0,295516599.0,309348193.0
UZB,24650400.0,26167000.0,28562400.0
VCT,107898.0,108744.0,109315.0
VEN,24488340.0,26784161.0,29028033.0
VGB,20645.0,23168.0,27224.0
VIR,108639.0,107863.0,106267.0
VNM,77630900.0,82392100.0,86932500.0
VUT,185063.0,209370.0,236295.0
WLD,6118075293.0,6517020798.24397,6930656699.362229
WSM,174610.0,179929.0,186205.0
XKX,1700000.0,1705780.0,1775680.0
YEM,17874725.0,20582927.0,23606779.0
ZAF,44896856.0,47606670.2439658,50979432.3622277
ZMB,10531221.0,12052156.0,13850033.0
ZWE,12222251.0,12940032.0,14086317.0
